"subscription_rk","возраст","пол","кол-во детей","флаг отказа от коммуникаций","доход","возраст в банке","гео","дата подключения","дата отключения","активных дней","выгода","кол-во опций","активная дебетовая карта","активная кредитка","НС","активный мобаил","активный брокерский счет","вклад","флаг оплаты подписки","кол-во партнерских подписок","оборот","кол-во транзакций","транзакций кино","транзакций развлечения","транзакций фастфуд","транзакций музыка","транзакций рестораны","транзакций в оффере партнеров"
"590133462","42","M","0","0","350000","1769","Новый Уренгой","2022-11-23","2023-04-23","120","995.57","4","1","0","1","0","1","1","1","0","197413.15","69","0","1","5","0","4","3"
"855025660","27","M","0","0","100000","728","Казань","2022-08-20","","231","292.11","4","1","0","0","0","0","0","1","0","133363.69","149","0","1","27","0","4","7"
"255040119","35","M","0","0","","518","МО","2022-03-07","2022-10-08","0","227.35","5","1","0","0","0","0","0","1","0","28753.09","75","0","0","3","0","4","3"
"729975403","21","F","0","0","65000","199","Хабаровск","2022-08-29","2022-09-29","0","11.63","2","1","1","0","0","1","0","0","0","56263.55","187","0","0","8","0","3","0"
"225873088","28","F","0","0","270000","2294","МО","2022-12-04","","125","610.57","5","1","0","1","1","0","0","1","0","129315.76","77","0","1","11","0","1","5"
"622294083","18","F","0","0","83560","77","Новосибирск","2022-11-03","2022-12-03","29","10.83","2","1","0","0","0","0","0","0","0","11340.6","64","0","0","15","0","1","0"
"840138645","21","M","0","0","26000","196","Чайковский","2022-08-27","2022-11-27","91","185.77","5","1","0","0","0","0","0","0","0","22329.76","60","0","0","4","0","0","3"
"54430806","32","M","0","0","45000","110","Екатеринбург","2022-11-01","2022-12-01","28","224.71","4","1","0","0","0","0","0","0","0","13553.45","72","0","1","1","0","1","4"
"559804391","23","M","0","0","35000","1046","Ленинск-Кузнецкий","2022-06-08","2022-07-08","30","87.39","3","1","0","1","0","0","0","0","0","26767.8","94","0","0","14","0","1","10"
"103325313","46","M","0","0","","1069","Тольятти","2022-11-20","2023-04-20","122","162.01","3","1","0","0","0","1","0","1","0","15516.32","38","0","0","3","0","0","0"
"576130520","23","M","0","0","60000","1186","Санкт-Петербург","2022-10-12","","178","256.82","5","1","0","1","0","0","0","1","0","61682.47","136","0","0","20","0","5","1"
"254541725","31","M","0","0","90000","2419","Самара","2022-01-24","2022-04-24","62","725.85","5","1","1","1","0","1","0","1","0","150316.57","145","0","3","19","0","1","3"
"725042221","22","F","0","0","150000","447","Москва","2022-01-17","2022-03-17","42","618.28","4","1","0","0","0","0","0","1","0","37903.81","118","0","0","19","0","1","1"
"817914865","28","M","0","0","","458","Тюмень","2022-09-30","2022-12-30","80","31.19","2","1","0","0","0","0","0","1","0","102712.19","137","0","0","8","0","4","3"
"792607969","44","M","0","0","65000","697","Томск","2022-10-08","","182","298.28","6","1","0","1","0","0","0","1","0","55070.81","120","0","1","14","0","4","1"
"979816113","47","F","0","0","25000","56","Тюмень","2022-04-08","2022-06-08","30","211.6","4","1","0","0","0","0","0","1","0","7053.89","48","0","0","0","0","0","1"
"481223668","72","F","0","0","","2373","Санкт-Петербург","2022-08-02","","249","302.86","4","1","0","0","0","0","0","1","0","21492.37","27","0","0","0","0","0","1"
"227679867","38","F","0","0","50000","543","Санкт-Петербург","2022-04-09","","364","195.15","2","1","0","0","0","1","0","1","0","2890.5","1","0","0","0","0","0","0"
"817728386","30","M","0","0","","1230","Москва","2022-06-27","2022-11-27","153","231.16","5","1","0","0","0","0","0","1","0","51714.53","88","0","1","7","0","3","1"
"534611971","20","F","0","0","30000","233","Пермь","2022-10-05","2023-04-05","180","166.33","5","1","0","1","0","0","0","1","0","22486.7","72","0","0","4","0","14","0"
"555516001","25","M","0","0","","1158","МО","2022-09-15","","205","675.5","5","1","0","0","0","0","0","1","0","42041.43","46","0","0","7","0","1","1"
"619388430","25","F","0","0","25000","361","Москва","2022-02-17","2022-04-17","44","552.66","2","1","0","0","0","0","0","1","0","76589.52","100","0","0","8","0","0","8"
"703600180","31","M","0","0","200000","807","Москва","2022-12-14","","115","237.34","4","1","0","0","0","0","0","1","0","8455.14","12","0","0","3","0","0","0"
"383535603","16","M","0","0","","622","Воронеж","2022-10-17","2022-12-17","39","173.45","4","1","0","0","0","0","0","1","0","11143.3","61","0","0","11","0","0","3"
"772901839","30","F","0","0","50000","221","Гусиноозерск","2022-11-24","2023-03-26","0","218.12","4","1","0","0","0","0","0","1","0","51534.05","100","0","0","7","0","0","0"
"655534834","41","F","0","0","70000","295","Ростов-На-Дону","2022-04-15","","358","98.16","5","1","0","0","0","0","0","1","0","14737.23","76","0","0","5","0","0","1"
"618725959","66","F","0","0","60000","258","Вологда","2022-10-24","","166","232.85","4","1","0","0","0","0","0","1","0","22241.2","54","0","0","8","0","5","3"
"709305466","33","M","0","0","57000","1306","Краснодар","2022-11-11","","148","135.51","2","1","0","0","0","0","0","1","0","65707.98","77","0","0","24","0","3","3"
"470411334","25","M","0","0","90000","67","Москва","2022-08-25","2022-09-25","26","127.96","2","1","0","0","0","0","0","0","1","18851.3","11","0","0","0","0","0","0"
"714622588","34","F","","0","","77","МО","2022-10-15","","175","78.79","3","1","0","0","0","0","0","1","0","6515.81","39","0","0","4","0","1","1"
"776851569","24","M","0","0","90000","987","Саратов","2022-10-03","2022-12-03","55","1236.75","1","1","0","0","0","0","0","1","0","158598.52","551","0","0","1","0","3","1"
"400575900","37","F","0","0","110000","32","МО","2022-03-13","","391","147.92","6","1","0","1","0","0","0","1","0","44691.47","29","0","0","1","0","0","3"
"735023928","25","M","0","0","","1190","Москва","2022-05-16","2022-12-23","221","626.8","5","1","0","1","0","1","1","1","0","94758.69","58","0","0","22","0","1","4"
"474209506","30","F","0","0","50000","675","Улан-Удэ","2022-09-17","2023-02-26","160","211.5","3","1","0","0","0","0","0","1","1","13173.43","4","0","0","1","0","0","1"
"926127716","36","M","2","0","180000","926","Казань","2022-10-04","2023-01-20","77","110.01","3","1","0","0","0","0","0","1","0","7537.05","10","0","0","3","0","0","0"
"475083701","46","F","0","0","65000","590","Артемовский","2022-09-27","","193","140.92","3","1","0","0","0","0","0","1","0","101949.91","62","0","0","3","0","0","1"
"993449093","30","M","0","0","120000","231","Екатеринбург","2022-09-27","2022-12-27","89","281.17","4","1","0","0","0","1","0","1","0","90130.08","113","0","1","10","0","5","3"
"795834264","21","M","0","0","75000","117","Москва","2022-07-14","2023-02-14","203","53.15","4","1","0","0","0","0","0","1","1","60886.56","228","0","1","22","0","1","4"
"792762105","37","M","0","1","40000","1758","Тольятти","2022-05-20","","323","328.99","5","1","1","1","1","1","0","1","0","54462.11","145","0","1","29","0","1","4"
"196405301","24","M","0","0","200000","821","Москва","2022-07-04","2022-08-23","50","638.12","7","1","1","1","1","0","0","1","0","192209.46","308","1","3","56","0","3","4"
"504039329","45","M","0","0","60000","300","МО","2022-12-05","","124","221.06","4","1","0","0","0","0","0","1","0","5524.85","16","0","0","3","0","0","0"
"534401329","30","F","0","0","100000","1807","Москва","2022-03-27","2022-10-08","172","83.99","2","0","1","0","0","0","0","1","0","31263.01","37","0","1","10","0","1","1"
"574113131","18","M","0","0","20000","52","Екатеринбург","2022-12-02","","127","150.85","3","1","1","0","0","0","0","1","0","25967.41","94","0","0","11","0","0","4"
"447798614","24","F","0","0","60000","584","МО","2022-10-20","","170","225.67","5","1","0","1","0","0","0","1","0","64480.48","162","0","0","10","0","3","7"
"177603064","25","M","0","0","50000","1101","Зеленодольск","2022-06-16","2022-08-12","56","452.56","5","1","1","0","0","0","0","1","0","190302.64","129","0","1","19","0","5","4"
"806429547","24","F","0","0","50000","915","Москва","2022-11-30","","129","194.36","5","1","1","1","0","1","1","1","0","66592.45","166","0","11","27","0","7","10"
"210645762","37","M","0","1","130000","3506","Москва","2022-02-22","","410","1340.25","7","1","0","0","1","0","0","1","0","144805.74","96","0","3","26","0","4","1"
"320839669","20","F","0","0","50000","723","Нижний Новгород","2022-11-03","","156","255.2","6","1","1","0","0","0","0","1","3","80791.03","160","1","1","22","0","5","4"
"539046002","40","F","0","0","160000","1167","Москва","2022-12-02","","127","219.82","3","1","1","0","0","1","0","1","0","90061.7","81","1","0","18","0","22","1"
"797409593","42","F","0","0","40000","740","Бахчисарай","2022-11-04","2022-12-04","15","189.61","4","1","1","0","0","0","0","0","0","12201.53","30","0","0","0","0","0","0"
"222676908","21","F","0","0","","407","Москва","2022-04-07","","366","0","2","1","0","0","0","0","0","1","0","36744.7","62","0","0","8","0","1","1"
"765018804","32","F","3","0","85000","203","Черкесск","2022-04-26","2022-05-26","0","162.28","3","0","1","0","0","0","0","0","0","55429.53","35","0","0","4","0","0","0"
"871786147","58","M","0","0","","1675","Москва","2022-04-04","2022-09-04","124","240.9","4","1","0","0","0","0","0","1","0","139299.39","141","0","0","42","0","10","3"
"847511285","25","F","0","0","80000","1169","Обнинск","2022-10-27","2022-11-27","31","0","1","1","0","0","0","0","0","1","0","64245.07","69","0","0","12","0","1","1"
"687145476","30","M","0","1","200000","706","Москва","2022-01-23","2022-04-04","41","50.93","3","1","0","0","0","0","0","1","0","15369.47","23","0","0","5","0","0","0"
